host,startTime,requestDuration,overallDuration,succes
192.168.96.5,2023-01-22T08:50:49Z,6287,6936,true
192.168.96.5,2023-01-22T08:50:49Z,6894,7519,true
192.168.96.5,2023-01-22T08:50:49Z,6356,6941,true
192.168.96.5,2023-01-22T08:50:49Z,6064,6652,true
192.168.96.4,2023-01-22T08:50:49Z,7561,8190,true
192.168.96.4,2023-01-22T08:50:49Z,6033,6643,true
192.168.96.4,2023-01-22T08:50:49Z,8423,8995,true
192.168.96.4,2023-01-22T08:50:49Z,7238,7879,true
192.168.96.5,2023-01-22T08:50:49Z,6173,6790,true
192.168.96.5,2023-01-22T08:50:50Z,6608,7236,true
192.168.96.5,2023-01-22T08:50:50Z,9494,10082,true
192.168.96.5,2023-01-22T08:50:50Z,7333,7939,true
192.168.96.5,2023-01-22T08:50:50Z,5828,6467,true
192.168.96.5,2023-01-22T08:50:50Z,6280,6858,true
192.168.96.5,2023-01-22T08:50:50Z,8322,9068,true
192.168.96.5,2023-01-22T08:50:50Z,6779,7386,true
192.168.96.5,2023-01-22T08:50:50Z,6284,6886,true
192.168.96.5,2023-01-22T08:50:50Z,6133,6781,true
192.168.96.5,2023-01-22T08:50:50Z,6391,7021,true
192.168.96.5,2023-01-22T08:50:50Z,7337,7936,true
192.168.96.5,2023-01-22T08:50:50Z,8343,8970,true
192.168.96.5,2023-01-22T08:50:50Z,6094,6670,true
192.168.96.4,2023-01-22T08:50:50Z,7989,8584,true
192.168.96.5,2023-01-22T08:50:50Z,5856,6499,true
192.168.96.5,2023-01-22T08:50:50Z,5950,6604,true
192.168.96.5,2023-01-22T08:50:50Z,6929,7527,true
192.168.96.5,2023-01-22T08:50:50Z,5776,6370,true
192.168.96.5,2023-01-22T08:50:50Z,6087,6692,true
192.168.96.5,2023-01-22T08:50:50Z,6258,6927,true
192.168.96.5,2023-01-22T08:50:50Z,6369,6989,true
192.168.96.5,2023-01-22T08:50:50Z,8239,8833,true
192.168.96.5,2023-01-22T08:50:50Z,6889,7522,true
192.168.96.4,2023-01-22T08:50:50Z,6959,7577,true
